Be' dörè ýeà tsí bi'	Be' dörè ýeà tsí bièrâ	TENSE:FUT_CER;ASPECT:IPFV
Ytie shka'	Ytie shkárule	TENSE:PAS_PLU
A sńkèk̠a'	Kë̀ a sńkèk̠a'ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Ye' tö i ymbaë'	Ye'  kë̀ ku̠tö i ymbaë'	TYPE:NEG
Yre' sàka'	Kë̀ yre' sàkae	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV
Chih ̀sdöa'	Kë̀ chih ̀sdöaök	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
' úpía'	' úp kë̀ ku̠'bakía'	TYPE:NEG;TENSE:PRF_PROG;ASPECT:PFV
Áe' dör ye' tsí i'	Áe'  kë̀ ku̠'bakdör ye' tsí i'	TYPE:NEG;TENSE:PRF_PROG;ASPECT:PFV
I!' tö bö' yë'stsa̠	I!'pa tö bö' yë'stsa̠	PERSON:3_PL
Be' dör yee tsy bi'	Be' dör yee tsy bé	TENSE:PRF_REC
Be' dör ye' t! bi'	Be' bák dör ye' t! bi'	TENSE:PRF_REM;ASPECT:PFV
Ye' tö b kíme̠'	Ye' tö b kími̠me̠'	ASPECT:INC
Be' dör úe' tsí 'i'	Be' kë̀ wa̠ úe' tsírule 'i'	TYPE:NEG;TENSE:PAS_PLU
Ie' dúna̠	Ie' dawö̀na̠mi̠	TENSE:FUT_POT;ASPECT:IPFV
Caìcâi töà po'tak kö'	Caìcâi töà po'tak kuèrâ	TENSE:FUT_CER;ASPECT:IPFV
Eeì ù̠̀yáka'	Eeì ù̠̀yákaèke̠	TENSE:IPFV_HAB;ASPECT:IPFV
Bd' dör ye' mysí i'	Bd' kë̀ wa̠ ye' mysruleí i'	TYPE:NEG;TENSE:PAS_PLU
'e' dörë àrros óé ñë̠	'e' bák dörë àrros óé ñë̠	TENSE:PRF_REM;ASPECT:PFV
Yle' deb̀ mkë'rë	Yle' bák deb̀ mkë'rë	TENSE:PRF_REM;ASPECT:PFV
Bè dör ye'á isp bi'	Bè kë̀ ku̠'bak ye'á isp biö́k	TYPE:NEG;TENSE:PRF_PROG
Òöñâeó' kbahka'	Kë̀ òöñâeó' kbahkök	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
Be' dör ye' tksí bái'	Be'  bákdör ye' tksí bái'	TENSE:PRF_REM;ASPECT:PFV
Chih ̀sdöa'	Chih ̀sdöaö́!	MODE:IMP;TENSE:IPFV_REC;ASPECT:IPFV
Ye' e' tkë'rë	Ye'  kë̀ ku̠e' tkë'rë	TYPE:NEG
Chìchi tö po'taek kö'	Chìchi tö po'taekmi̠ kö'	ASPECT:INC
Chéchi tö po'taës kö'	Chéchi tö po'taës kö'	MODE:ADVERS
Be' dör ye' tsbí bài'	Be' wa̠ ye' tsbí bàia'	MODE:ADVERS
Ye' ̠' të'rë	Ye' ̠' të'rë	MODE:ADVERS
' hpa'	' mi̠hpa'	ASPECT:INC
Ye' tö k!iàn eë'	Ye' bák k!iàn eö́k	TENSE:PRF_PROG
Ùe' tö àstiay të'	Kë̀ ùe' tö àstiay tëök	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
Ye' dör àrros tùóë ñn̠	Ye' dör àrros tùa̠wéë ñn̠	TENSE:PRF_REC
Yw' töe klàir të'	Yw' kë̀ wa̠e klàir të̀ne̠	TYPE:NEG
Ye' dör òrr's tó̠ ñè̠	Ye' bák òrr's ta̠ú̠k ñè̠	TENSE:PRF_PROG
Óycie' sa'	Kë̀ óycie' saèku̠	TYPE:NEG;TENSE:IPFV_HAB;ASPECT:IPFV
' úñöa'	' úñöémi̠	TENSE:PRF_REC;ASPECT:INC
Ye' tö ckàsi ë'	Ye' kë̀ wa̠ ckàsa̠iè̠n ë	TYPE:NEG;TENSE:PRF_REC
Ye' töá i wámúblë'	Kë̀ ye' töá i wámúblök	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
Buà me̠r kàl ulà ki̠	Buà  bákme̠r kàl ulà ki̠	TENSE:PRF_REM;ASPECT:PFV
Bo' dör ye ssí bi'	Bo' tso ye ssí biö́k	TENSE:IPFV_PROG;ASPECT:IPFV
'e' dörë àrros óé ñè̠	'e' dörë àrros a̠wéé ñè̠	TENSE:PRF_REC
Yë' shka'	Yë'  kë̀ ku̠shka'	TYPE:NEG
Beò dör el'd tsí whi'	Beò  kë̀ ku̠dör el'd tsí whi'	TYPE:NEG
Ye' tö kàsir ë'	Ye' tö kàsir èke̠	TENSE:IPFV_HAB;ASPECT:IPFV
Èe' dör rros tó̠ ñè̠	Èe' dör rros tó̠ ñè̠ku̠	MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Chìchi tö po'btak kö'	Kë̀ chìchi tö po'btak köèku̠	TYPE:NEG;TENSE:IPFV_HAB;ASPECT:IPFV
Chìchr tö po'tak kö'	Chìpachr tö po'tak kö'	PERSON:3_PL
Ye'é' dhwa'	Ye'é' dhwaè	TENSE:IPFV_REC;ASPECT:IPFV
P'' j' jtë'dë	P'' j' jtë'dëku̠	MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
E áö bö' ë'stsa̠	E áö kë̀ ku̠ bö' ë'stsa̠	TYPE:NEG
' ìâpaa'	' ìâpaárule	TENSE:PAS_PLU
Ì' òhía'	Ì' òhíó	MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Bm' dör y' tsí böi'	Kë̀ bm' dör y' tsí böièku̠	TYPE:NEG;TENSE:IPFV_HAB;ASPECT:IPFV
Chìchi tö ho'tak kö'	Kë̀ chìchi tö ho'tak kue	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV
Bo' dör 'eè ásí bi'	Bo' bák dör 'eè ásí bi'	TENSE:PRF_REM;ASPECT:PFV
Chìchi tö pk'tak ikö'	Chìchi wa̠ pk'tak ikua'	MODE:ADVERS
' sóhka'	' skë̀ óhkárule	TYPE:NEG;TENSE:PAS_PLU
Alà tö ali'i a̠'	Alà tö ali'i é̠	TENSE:PRF_REC
Á' èe' tkë'áë	Á' èe' tkë'áëmi̠	ASPECT:INC
Ye' dör àros tó̠ ñè̠	Ye'  bákdör àros tó̠ ñè̠	TENSE:PRF_REM;ASPECT:PFV
We' tö böá yë'stsa̠	We' tö böá yéstsa̠	TENSE:PRF_REC
́â' âhla'	́â' âhlö̀ke̠	TENSE:IPFV_HAB;ASPECT:IPFV
Ety' ska'	Ety'kë̀ ku̠  skö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV
Ye' ashka'	Ye' ashkéma̠	TENSE:PRF_REC;ASPECT:INC
Ye' tö kàöcsir̠e yë'	Ye' é̠n a̠ kàöcsir̠e ya'ku̠	MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Ye' dör àrröös èó̠ ñè̠	Ye' kë̀ ku̠'bak dör àrröös èó̠ ñè̠	TYPE:NEG;TENSE:PRF_REM;ASPECT:PFV
Ye' tö kàsr ìtë'	Ye' kë̀ wa̠ kàsr ìtë́rule	TYPE:NEG;TENSE:PAS_PLU
Be' dörc yn'à cí yi'	Kë̀ be' dörc yn'à cí yie	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV
Bd' dör ye' mysí i'	Bd' kë̀ wa̠ ye' mysí írule	TYPE:NEG;TENSE:PAS_PLU
Ye' dör ârs tó̠ ùb̠	Kë̀ ye' dör ârs tó̠ ùb̠ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Yea'p kshka'	Yea kë̀ ku̠'bak'p kshka'	TYPE:NEG;TENSE:PRF_REM;ASPECT:PFV
Bè dör ye' itsí bi'	Bè é̠n a̠ ye' itsí bia'ku̠	MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
!ye' sñesya'	Kë̀ !ye' sñesyuak	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
Òöñâe' kbahka'	Kë̀ òöñâe' kbahkàne̠	TYPE:NEG
Ye' dör àrmröös ó̠ ñè̠	Ye' kë̀ wa̠ àrmröös ò̠ne̠ ñè̠	TYPE:NEG;TENSE:PRF_REC
Ruà me̠r ëúàl ul ki̠	Ruà bák dapárke ëúàl ul ki̠	TENSE:PRF_REM;ASPECT:PFV;ABSNUM:PL
Yy' tö kàji të'	Kë̀ yy' tö kàji tö̀pë	TYPE:NEG;TENSE:FUT_CER;ASPECT:IPFV
Ye' tö àmb mkíme̠'	Ye' kë̀ wa̠ àmb mkímè̠ne̠	TYPE:NEG;TENSE:PRF_REC
Chìhùi tö po'tak kö'	Chìhùi kë̀ ku̠'bak po'tak kuö́k	TYPE:NEG;TENSE:PRF_PROG
Chìchi tö po'taek kö'	Chì kë̀ ku̠chi tö po'taek kö'	TYPE:NEG
Y 'âtö i! ík	Y 'â kë̀ ku̠'baktö i! ík	TYPE:NEG;TENSE:PRF_PROG;ASPECT:PFV
Ùye mshka'	Ùye mkë̀ shkárule	TYPE:NEG;TENSE:PAS_PLU
Á' áe'mújú thë'áë	Á'  bákáe'mújú thë'áë	TENSE:PRF_REM;ASPECT:PFV
Ye' tö kàöcsir̠ ë'	Ye' tö kàöcsir̠ è	TENSE:IPFV_REC;ASPECT:IPFV
Be' dör ye' ètthí i'	Be' tso ye' ètthí iö́k	TENSE:IPFV_PROG;ASPECT:IPFV
Bb' döre ye' àtsí bi'	Bb' kë̀ ku̠ döre ye' àtsí bi'	TYPE:NEG
' shka'	' shkö̀râ	TENSE:FUT_CER;ASPECT:IPFV
E' s'dpa'	E' skë̀ ku̠ 'dpö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV
Chìchi tö p'btak kö'	Kë̀ chìchi é̠n a̠ p'btak kua'ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
'a ́ìâpaa'	'a  báḱìâpaa'	TENSE:PRF_REM;ASPECT:PFV
Chìchi tö 'ak kö'	Chìchi tö 'ak köè	TENSE:IPFV_REC;ASPECT:IPFV
Ye' tö kài̠ ë'	Ye' tö kài̠ ëèke̠	TENSE:IPFV_HAB;ASPECT:IPFV
Ys' tö kàsir ttë'	Ys' kë̀ wa̠ kàsir ttë̀ne̠	TYPE:NEG;TENSE:PRF_REC
Óyce a'	Óyce kë̀ ku̠ a'	TYPE:NEG
Yé' tö àsir të'	Yé' kë̀ ku̠ àsir tö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV
Chìchi tö po'taks kö'	Kë̀ chìchi tö po'taks köèku̠	TYPE:NEG;TENSE:IPFV_HAB;ASPECT:IPFV
Ye' dör ààrs tó̠ ñè̠	Ye' kë̀ ku̠ ààrs ta̠ú̠k ñè̠	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV
Be' dör y' t éi'	Be' dör y' t éiè	TENSE:IPFV_REC;ASPECT:IPFV
Öñâe' shka'	Öñâe' shkaè	TENSE:IPFV_REC;ASPECT:IPFV
Ye' dör ìàrr'ò tó̠ ñè̠	Ye' dör ìàrr'ò ta̠wé̠ ñè̠	TENSE:PRF_REC
Ye' s'kpa'	Ye'  kë̀ ku̠s'kpa'	TYPE:NEG
Ye' dör àbro tó̠ ñè̠	Ye' a̠ àbro tó̠r ñè̠	MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Ye' dörp rinros tó̠ ñ̠u	Ye' dörp rinros tó̠ ñ̠uku̠	MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Ye' ehka'	Ye' ehkó	MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Caìchi tö po'tak kö'	Caì bákchi tö po'tak kö'	TENSE:PRF_REM;ASPECT:PFV
Be' dör ye' sí bi'	Be'  kë̀ ku̠dör ye' sí bi'	TYPE:NEG
Bo' dör ye ássí bi'	Kë̀ bo' a̠ ye ássí bír	TYPE:NEG;MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Be' dör pe' tks bhi'	Be' tso pe' tks bhiö́k	TENSE:IPFV_PROG;ASPECT:IPFV
Ye' tö ksir twë'	Ye' wa̠ ksir twë́rule	TENSE:PAS_PLU
Të' úú	Të' ujúö̀	TENSE:IPFV_REC;ASPECT:IPFV
Jà' tö kâir 'tàë'	Kë̀ jà' tö kâir 'tàö̀pë	TYPE:NEG;TENSE:FUT_CER;ASPECT:IPFV
Ye' töà uàrlñyi ëë'	Kë̀ ye' töà uàrlñyi ëe	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV
Yy' tö àjà të'	Kë̀ yy' tö àjà të'ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Dheé ùshka'	Dheé ùshkárule	TENSE:PAS_PLU
Yeú tö kùir të'	Yeú tö kùir të'mi̠	ASPECT:INC
Be' dör èy̠e' tsí úìbdi'	Be' dör èy̠e' tsí úìbdiö́!	MODE:IMP;TENSE:IPFV_REC;ASPECT:IPFV
Chìchi tö p'byâëk ö'	Chìchi a̠ p'byâëk ö́r	MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
E ssdksa'	Kë̀ e ssdksàne̠	TYPE:NEG
Ye' tö mb mkíme̠'	Ye' kë̀ ku̠'bak tö mb mkíme̠'	TYPE:NEG;TENSE:PRF_REM;ASPECT:PFV
Ye' ósuha'	Ye' ókë̀ ku̠'bak suhö́k	TYPE:NEG;TENSE:PRF_PROG
Nâì í́út	Nâì í́útku̠	MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Ye' tö kníàsòrb të'	Ye' kë̀ wa̠ kníàsòrba̠ è̠ntë	TYPE:NEG;TENSE:PRF_REC
Aìe'' ska'	Kë̀ aìe'' skök	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
Yñ' tö eékàsirr 'èë'	Kë̀ yñ' tö eékàsirr 'èëèpa	TYPE:NEG;TENSE:FUT_CER;ASPECT:IPFV
Ydeu e̠ky' tuk̠ë'rë	Ydeu e̠ky' tuk̠ö̀rö	TENSE:IPFV_REC;ASPECT:IPFV
Ye' tö k̠íàò́ñb të'	Kë̀ ye' tö k̠íàò́ñb të'ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Yp'' j' të'rë	Yp'' bák j' të'rë	TENSE:PRF_REM;ASPECT:PFV
' òía'	Kë̀ ' òíö	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV
!h́chi tö 'tàk kö'	Kë̀ !h́chi tö 'tàk kö'ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Ye' âsuha'	Ye' bák âsuha'	TENSE:PRF_REM;ASPECT:PFV
Ye' döry àbrros tóú tè̠	Ye' é̠n a̠y àbrros ta̠wa̠'kuú tè̠	MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Chìchi tö íots ö'	Chìchi wa̠ íots ua'	MODE:ADVERS
Ye' dör àrros tó̠ ñy̠	Ye' dör àrros ta̠wé̠mi̠ ñy̠	TENSE:PRF_REC;ASPECT:INC
È' tö oàsir të'	Kë̀ è' tö oàsir tëèku̠	TYPE:NEG;TENSE:IPFV_HAB;ASPECT:IPFV
Ye' tö ösir të'	Ye' kë̀ wa̠ ösir të́rule	TYPE:NEG;TENSE:PAS_PLU
Ye' tö ckàsi ë'	Ye' kë̀ ku̠'bak tö ckàsi ë'	TYPE:NEG;TENSE:PRF_REM;ASPECT:PFV
Ye' dör àrrkose só̠ ñè̠	Ye' dör àrrkose sa̠wè̠ ñè̠	TENSE:IPFV_REC;ASPECT:IPFV
Be' dör yeb sí bi'	Kë̀ be' é̠n a̠ yeb sí bia'ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Ye' ̀lhka'	Ye' ̀lhkaèrâ	TENSE:FUT_CER;ASPECT:IPFV
Ye' ́hka'	Ye' ́mi̠hka'	ASPECT:INC
Ye' dör àrroí átó̠ ñè̠	Ye' dör àrroí átó̠mi̠ ñè̠	ASPECT:INC
Kyẃâ' te̠w akòë'rë	Kyẃ kë̀ ku̠'bakâ' te̠w akòë'rë	TYPE:NEG;TENSE:PRF_PROG;ASPECT:PFV
Yec tö kàsr tíë'	Yec tö kàsr tíèrâ	TENSE:FUT_CER;ASPECT:IPFV
Chìhùi tö pohtan kö'	Chìhùi tö pohtan kuèke̠	TENSE:IPFV_HAB;ASPECT:IPFV
Y' śka'	Y' śkéma̠	TENSE:PRF_REC;ASPECT:INC
Y'òe' suka'	Y'òe' suka'mi̠	ASPECT:INC
Bryreu sàka'	Bryreu sàkö̀râ	TENSE:FUT_CER;ASPECT:IPFV
Wë́m dur stsúñök	Kë̀ wë́m dur stsúñökku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Ye' tö i èík	Ye' tö imi̠ èík	ASPECT:INC
Cháìhi tö po'ñtak kö'	Cháìhi tö po'ñtak kuèke̠	TENSE:IPFV_HAB;ASPECT:IPFV
Ye' dör ràrdo tó̠ ñè̠	Ye' dör ràrdo ta̠wè̠ ñè̠	TENSE:IPFV_REC;ASPECT:IPFV
Be' dör èy̠e' tosí ìbi'	Kë̀ be' dör èy̠e' tosí ìbièku̠	TYPE:NEG;TENSE:IPFV_HAB;ASPECT:IPFV
Caì́âi töà po'ik éö'	Caì kë̀ ku̠'baḱâi töà po'ik éö'	TYPE:NEG;TENSE:PRF_REM;ASPECT:PFV
Chìchi tö 'ak kâö'	Kë̀ chìchi tö 'ak kâöök	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
Óhìcki tö poínak kö'	Óhìcki kë̀ wa̠ poínak kö́rule	TYPE:NEG;TENSE:PAS_PLU
Ys' tö kàsir ttë'	Ys' kë̀ wa̠ kàsir a̠tè̠ntë	TYPE:NEG;TENSE:PRF_REC
Y̠e' sha'	Kë̀ y̠e' shö̀ku̠	TYPE:NEG;TENSE:IPFV_HAB;ASPECT:IPFV
Cháìhi tö po'rñak kö'	Chá kë̀ ku̠'bakìhi tö po'rñak kö'	TYPE:NEG;TENSE:PRF_REM;ASPECT:PFV
Y'' dör ààrs tó̠ ñy̠	Y'' kë̀ ku̠'bak dör ààrs tó̠ ñy̠	TYPE:NEG;TENSE:PRF_REM;ASPECT:PFV
Yòböe' hkt́̀a'	Yòböe' hkt́̀éma̠	TENSE:PRF_REC;ASPECT:INC
Yw' töe klàir të'	Yw' töe klàir té	TENSE:PRF_REC
Ye' dör àrros tó̠ ñè̠	Ye'  kë̀ ku̠'bakdör àrros tó̠ ñè̠	TYPE:NEG;TENSE:PRF_PROG;ASPECT:PFV
Chìchi tö wbotak kö'	Chìchi tö wbotak köè	TENSE:IPFV_REC;ASPECT:IPFV
Òöñâeó' kbahka'	Òöñâ kë̀ ku̠eó' kbahka'	TYPE:NEG
Óhìcki tö po'nak kö'	Kë̀ óhìcki a̠ po'nak kö́r	TYPE:NEG;MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Yre' sàka'	Kë̀ yre' sàkö	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV
Kyẃâ' te̠w akòë'rë	Kyẃâ' te̠w akòére	TENSE:PRF_REC
Ye' tö ékàsirr tèë'	Ye'pa tö ékàsirr tèë'	PERSON:3_PL
Y̠eì' sëa'	Y̠eì' sëö̀	TENSE:IPFV_REC;ASPECT:IPFV
Chìchi tö w̠p'tak kö'	Kë̀ chìchi tö w̠p'tak kö'ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Ce' dör ye' ts bi'	Ce' wa̠ ye' ts bia'	MODE:ADVERS
Të' úó	Të' ujóé	TENSE:PRF_REC
Ye' tö kàsir ìtë'	Ye' é̠n a̠ kàsir ìta'ku̠	MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Be' dör yeà ̠í bái'	Be' kë̀ ku̠'bak dör yeà ̠í bái'	TYPE:NEG;TENSE:PRF_REM;ASPECT:PFV
Yeú tö kùir të'	Yeú tö kùir tè	TENSE:IPFV_REC;ASPECT:IPFV
Chìchi tö po'ùh̠ kö'	Chìc kë̀ ku̠'bakhi tö po'ùh̠ kö'	TYPE:NEG;TENSE:PRF_PROG;ASPECT:PFV
Chmchi tö pla'l ö'	Chmchi wa̠ pla'l ö́rule	TENSE:PAS_PLU
Cbìhùi tö pohtan kö'	Cbìhùi tö pohtan köö́!	MODE:IMP;TENSE:IPFV_REC;ASPECT:IPFV
Íshchi tö !bokatk kö'	Íshchi tö !bokatk köèke̠	TENSE:IPFV_HAB;ASPECT:IPFV
Yë' shka'	Yë' shkö̀	TENSE:IPFV_REC;ASPECT:IPFV
' súñöa'	Kë̀ ' súñöa'ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
È' òshka'	È' paòshka'	PERSON:3_PL
Ye' dör riros tó̠ ñ̠u	Kë̀ ye' dör riros ta̠u̠k ñ̠u	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
Ehpchi tö o'toá ö'	Ehpchi kë̀ wa̠ o'toá ö́rule	TYPE:NEG;TENSE:PAS_PLU
Cìchkp tö po't!k 'íkwèö'	Kë̀ cìchkp tö po't!k 'íkwèöèku̠	TYPE:NEG;TENSE:IPFV_HAB;ASPECT:IPFV
Be' dör y!ó' tìsí bi'	Be' kë̀ ku̠'bak dör y!ó' tìsí bi'	TYPE:NEG;TENSE:PRF_REM;ASPECT:PFV
Byreu sàka'	Byreu sàka'	MODE:ADVERS
Et'j dnhpéa'	Et'j dnhpéó	MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Ye' tö kàsir ë'	Kë̀ ye' é̠n a̠ kàsir a'ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Be' dör yh' tsí bi'	Be' dör yh' tsími̠ bi'	ASPECT:INC
Ye' ehka'	Kë̀ ye' ehkaök	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
Be' dör !ye'ó tsí bi'	Kë̀ be' dör !ye'ó tsí buik	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
' úèöa'	' úè kë̀ ku̠'baköa'	TYPE:NEG;TENSE:PRF_PROG;ASPECT:PFV
Bí' dörc yrt t!í bi'	Bí' dörc yrt t!í bi'mi̠	ASPECT:INC
Ehöchi tö o'taá kö'	Ehö kë̀ ku̠'bakchi tö o'taá kö'	TYPE:NEG;TENSE:PRF_REM;ASPECT:PFV
Ye' dör àrros tó̠ ñèy	Ye' bák dör àrros tó̠ ñèy	TENSE:PRF_REM;ASPECT:PFV
!'sỳ'w sesrya'	Kë̀ !'sỳ'w sesryaèpa	TYPE:NEG;TENSE:FUT_CER;ASPECT:IPFV
Óyee' sha'	Kë̀ óyee' shök	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
Í' ska'	Í' ské	TENSE:PRF_REC
Ye' tö kùsir të'	Kë̀ ye' tö kùsir tëök	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
