Pakova roguépe omo’â hembi’ukuéra. che rasy	Pakova roguépe remo’â nderembi’ukuéra. nde nderasy	PERSON:2_SI
Pakova roguépe omo’â hembi’ukuéra. upérö (che) añani hína kuri	Pakova roguépe remo’â nderembi’ukuéra. upérõ (nde) reñanihínakuri	PERSON:2_SI
Ore mba’e ko ykua	Ore mba’e ko ykua	NOCHANGE
Ha’ekuéra naiñemoñaréi kuri	Ha’ekuéra naiñemoñaréi kuri	NOCHANGE
Nde nderejapói	Nde nderejapói	NOCHANGE
Ko po ojupíta	Ko po ojupíta	NOCHANGE
Peẽ peguapy	Peẽ peguapy	NOCHANGE
Peẽ napejapómi ogyke pokã ore temimbo’e tie’ỹ ojapopami	Ha’ekuéra nojapómi ogyke pokã ore temimbo’ekuéra tie’ỹ ojapopami	PERSON:3_PL
Ha’e ombojerehina kuri umi kutuhakuéra tuicháva	Ha’e ombojerehina kuri umi kutuhakuéra tuicháva	NOCHANGE
Temirendukuéra omongakuaa	Temirendukuéra omongakuaa	NOCHANGE
Temirendu omongakuaa	Temirendu omongakuaa	NOCHANGE
Ha’e ombojerekuri umi kutuhakuéra poro’o nde reñembosarái hína	Ha’e ndombojereikuri umi kutuhakuéra tuicháva nde nereñembosaráiri hína	TYPE:NEG
Amo ñemuha osapukái kuri nde reñembosarái hína	Amo ñemuha nosapukái kuri nde nereñembosaráiri hína	TYPE:NEG
Nde nderejapói ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	Nde rejapo ijuru ñeimo’ã’ỹva ojurata che aovevekuéra	TYPE:AFF
Mombe’ukuéra omboty kuri pende arete oipuru hikuái ka’a ha ho’u terere.	Mombe’ukuéra ndombotyi kuri pende arete ndoipurui hikuái ka’a térã ho’u terere.	TYPE:NEG
Che añembosarái hína	Che añembosarái hína	NOCHANGE
Pakova roguépe omo’â hembi’ukuéra. che rasy	Pakova roguépe pemo’â penderembi’ukuéra. peê penderasy	PERSON:2_PL
Ijuru ñeimo’ã’ỹva ojurata che aovevekuéra	Ijuru ñeimo’ã’ỹva ojurata che aovevekuéra	NOCHANGE
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua pakova roguépe omo’â hembi’ukuéra.	Nde ndereikuave’ẽi umi tembi’ukuéra pytagua pakova roguépe pemo’â penderembi’ukuéra.	PERSON:2_PL
Ha’e hasy	Ha’e hasy	NOCHANGE
Temirendukuéra omongakuaa ha’e ndombojaruita	Temirendukuéra omongakuaa hína ha’e ndombojaruita hína	ASPECT:IPFV
He’i ka’i ruvicha ta’ýra kuérape jaguarete katu itáicha okirirĩ.	Che, ka’i ruvicha, ha’e che ta’yrakuérape che katu itáicha akirirĩ.	PERSON:1_SI
Upérö (che) añani hína kuri	Upérö (che) añani hína kuri	NOCHANGE
Temirendukuéra omongakuaa upérö (che) añani hína kuri	Temirendukuéra omongakuaata upérõ (che) añanita hína	TENSE:FUT_SIM
Ha’e nombotujaimi che ogyke - ha’e ndombyaimi che ogyke nde reñembosarái hína	Ha’e ombotujáta che ogyke - ha’e ombyaíta che ogyke nde reñembosaráita hína	TENSE:FUT_SIM
Ha’e ombojerekuri umi kutuhakuéra poro’o ama oikomi ka’aguy hovy’ûvare	Ha’e ndombojereikuri umi kutuhakuéra tuicháva ama ndoikomi ka’aguy hovy’ûvare	TYPE:NEG
Ha’e ojupi kuri ore temimbo’e tie’ỹ ojapopami	Ha’e ojupita ore temimbo’e tie’ỹ ojapopata	TENSE:FUT_SIM
He’i ka’i ruvicha ita’ýrakuérape	He’i ka’i ruvicha ita’ýrakuérape	NOCHANGE
Ha’e ombojerekuri umi kutuhakuéra poro’o ha’e ndombojaruita	Ha’e ombojerehina kuri umi kutuhakuéra tuicháva ha’e ndombojaruita hína	ASPECT:IPFV
Ha’e ojupi kuri	Ha’e ojupi kuri	NOCHANGE
Okũmbymi hikuái ore temimbo’e tie’ỹ ojapopami	Okũmbyta hikuái. ore temimbo’e tie’ỹ ojapopata	TENSE:FUT_SIM
Peẽ pejapomi ogyke pokã	Peẽ pejapomi ogyke pokã	NOCHANGE
Ore temimbo’e tie’ỹ ojapopami upérö (che) añani hína kuri	Ore temimbo’e tie’ỹ ojapopava’ekue upérõ (che) añanihínava’ekue	TENSE:PAS_PLU
Ha’e ndombojaruita he’i ka’i ruvicha ta’ýra kuérape	Nde nderembojarui mo’ãi nde, ka’i ruvicha ere nde ta’yrakuérape	PERSON:2_SI
Che, ka’i ruvicha, ha’e che ta’yrakuérape	Che, ka’i ruvicha, ha’e che ta’yrakuérape	NOCHANGE
Ore ndorokuave’ẽimi umi tembi’ukuéra pytagua	Ore ndorokuave’ẽimi umi tembi’ukuéra pytagua	NOCHANGE
Nde nderejapói ore ndorokuave’ẽi umi tembi’ukuéra pytagua	Nde rejapo ore rokuave’ẽ umi tembi’ukuéra pytagua	TYPE:AFF
Ore temimbo’e tie’ỹ ojapopami amo ñemuha osapukái kuri	Ore temimbo’e tie’ỹ ojapopata amo ñemuha osapukáita	TENSE:FUT_SIM
Ha’e ombojerekuri umi kutuhakuéra poro’o ha’e ombojára kuri mbovy apekuéra	Ha’e ndombojereikuri umi kutuhakuéra tuicháva ha’e ndombojárai kuri mbovy apekuéra	TYPE:NEG
Upérõ (nde) reñanihínakuri	Upérõ (nde) reñanihínakuri	NOCHANGE
Ko’ã tembi’u ombojy jepe’a tatarendýpe	Ko’ã tembi’u ombojy jepe’a tatarendýpe	NOCHANGE
Ama oikomi ka’aguy hovy’ûvare jaguarete katu itáicha okirirĩ.	Ama ndoikomi ka’aguy hovy’ûvare jaguarete katu itáicha ndokirirĩ.	TYPE:NEG
Okũmbymi hikuái che mba’éma ko ykua	Okũmbyta hikuái. che mba’éta ko ykua	TENSE:FUT_SIM
Temirendukuéra omongakuaata	Temirendukuéra omongakuaata	NOCHANGE
Mombe’ukuéra omboty kuri pende arete ha’e nombotujaimi che ogyke - ha’e ndombyaimi che ogyke	Mombe’ukuéra ombotyta pende arete ha’e ombotujáta che ogyke - ha’e ombyaíta che ogyke	TENSE:FUT_SIM
Ijuru ñeimo’ã’ỹva ndojuraimi che aovevekuéra	Ijuru ñeimo’ã’ỹva ndojuraimi che aovevekuéra	NOCHANGE
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra amo ñemuha osapukái kuri	Ijuru ñeimo’ã’ỹva ndojuraiva’ekue che aovevekuéra amo ñemuha osapukáiva’ekue	TENSE:PAS_PLU
Che nañemoingeta che ajavými iñeikotevẽva akuápe	Che nañemoingei che ajavy iñeikotevẽva akuápe	TENSE:PRE_SIM
Apurahéi kuri ko mombe’upy ohenduká kuri chéve che ru.	Ndapurahéi kuri ko mombe’upy ndohenduká kuri chéve che ru.	TYPE:NEG
Ha’e oguapy upérö (che) añani hína kuri	Ha’e oguapýva’ekue upérõ (che) añanihínava’ekue	TENSE:PAS_PLU
Ha’e nombotujaimi che ogyke - ha’e ndombyaimi che ogyke oipuru hikuái ka’a ha ho’u terere.	Ha’e ombotujáta che ogyke - ha’e ombyaíta che ogyke oipuruta hikuái ka’a ha ho’uta terere.	TENSE:FUT_SIM
Ha’e ojupi kuri ko po ojupi	Ha’e ndojupirí kuri ko po ndojupíri	TYPE:NEG
Ko mombe’upy ohenduká kuri chéve che ru. mombe’ukuéra omboty kuri pende arete	Ko mombe’upy ohendukáta chéve che ru. mombe’ukuéra ombotyta pende arete	TENSE:FUT_SIM
Che rasy ha’e oguapy	Che cherasy kuri ha’e oguapýkuri	TENSE:PAS_REC
Ha’e nombotujaimi che ogyke - ha’e ndombyaimi che ogyke nde nderejapói	Ñande ndañambotujáimi che ogyke - ñande ndañambyaimi che ogyke ñande ndajajapói	PERSON:1_PL_INC
Ko po ojupi ore temimbo’e tie’ỹ ojapopami	Ko po ndojupíri ore temimbo’e tie’ỹ nojapopami	TYPE:NEG
Che nañemoingeta	Che nañemoingeta	NOCHANGE
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua ha’ekuéra naiñemoñaréi kuri	Ore rokuave’ẽ umi tembi’ukuéra pytagua ha’ekuéra oñemoñaréi kuri	TYPE:AFF
Ha’ekuéra opurahéikuri	Ha’ekuéra opurahéikuri	NOCHANGE
Che ajavými iñeikotevẽva akuápe ha’e oguapy	Nde rejavýimi iñeikotevẽva akuápe peẽ peguapy	PERSON:2_PL
Upérõ (che) añanihínava’ekue	Upérõ (che) añanihínava’ekue	NOCHANGE
Ha’e ojupi kuri ha’e nombotujaimi che ogyke - ha’e ndombyaimi che ogyke	Ñande jajupi kuri ñande ndañambotujáimi che ogyke - ñande ndañambyaimi che ogyke	PERSON:1_PL_INC
He’i ka’i ruvicha ta’ýra kuérape ha’e ndombojaruita	Nde, ka’i ruvicha ere nde ta’yrakuérape nde nderembojarui mo’ãi	PERSON:2_SI
Chéngo ndaikuaái upévape. ha’ekuéra naiñemoñaréi kuri	Chéngo aikuaá upévape. ha’ekuéra oñemoñaréi kuri	TYPE:AFF
Peẽ napejapómi ogyke pokã jaguarete katu itáicha okirirĩ.	Nde nderejapómi ogyke pokã nde katu itáicha rekirirĩ.	PERSON:2_SI
Peẽ napejapómi ogyke pokã ha’ekuéra naiñemoñaréi kuri	Peẽ napejapói ogyke pokã ha’ekuéra ndoñemoñaréi	TENSE:PRE_SIM
Okũmbyta hikuái.	Okũmbyta hikuái.	NOCHANGE
Nde reñembosarái hína pakova roguépe omo’â hembi’ukuéra.	Che añembosarái hína pakova roguépe amo’â cherembi’ukuéra.	PERSON:1_SI
Ha’e ojupi kuri temirendukuéra omongakuaa	Ha’e ojupita temirendukuéra omongakuaata	TENSE:FUT_SIM
Ha’e oguapy jaguarete katu itáicha okirirĩ.	Ha’e oguapýta jaguarete katu itáicha okirirĩta.	TENSE:FUT_SIM
Ha’e ojupi kuri ikóni	Ha’e ojupi kuri ikóni	NOCHANGE
Che mba’éma ko ykua	Che mba’éma ko ykua	NOCHANGE
Ore temimbo’e tie’ỹ ojapopami nde reñembosarái hína	Ore temimbo’e tie’ỹ ojapopata nde reñembosaráita hína	TENSE:FUT_SIM
Hikuái oguapy	Hikuái oguapy	NOCHANGE
Mombe’ukuéra omboty kuri pende arete che rasy	Mombe’ukuéra omboty kuri hína pende arete che rasypota hina	ASPECT:IPFV
Peë naipeñemoñaréi kuri	Peë naipeñemoñaréi kuri	NOCHANGE
Mombe’ukuéra omboty kuri pende arete pakova roguépe omo’â hembi’ukuéra.	Mombe’ukuéra ndombotyi kuri pende arete pakova roguépe ndomo’âi hembi’ukuéra.	TYPE:NEG
Amo ñemuha osapukái kuri ha’e nombotujaimi che ogyke - ha’e ndombyaimi che ogyke	Amo ñemuha osapukáiva’ekue ha’e ndombotujáiva’ekue che ogyke - ha’e ndombyaiva’ekue che ogyke	TENSE:PAS_PLU
Chéngo ndaikuaái upévape. ko mombe’upy ohenduká kuri chéve che ru.	Ndéngo ndereikuaái upévape. ko mombe’upy emohenduká kuri chéve nde.	PERSON:2_SI
Ha’e nombotujaimi che ogyke - ha’e ndombyaimi che ogyke che rasy	Ha’e ndombotujaikuri hina che ogyke - ha’e ndombyaikuri hina che ogyke che cherasy kuri	TENSE:PAS_REC
Ore temimbo’e tie’ỹ ojapopa	Ore temimbo’e tie’ỹ ojapopa	NOCHANGE
Ore temimbo’e tie’ỹ ojapopami apurahéi kuri	Ore temimbo’ekuéra tie’ỹ ojapopami ha’ekuéra opurahéikuri	PERSON:3_PL
Apurahéi kuri che ajavými iñeikotevẽva akuápe	Apurahéitta che ajavýta iñeikotevẽva akuápe	TENSE:FUT_SIM
Oipuru hikuái ka’a ha ho’u terere. pakova roguépe omo’â hembi’ukuéra.	Ndoipurui hikuái ka’a térã ho’u terere. pakova roguépe ndomo’âi hembi’ukuéra.	TYPE:NEG
Che ndaikuave’ẽi umi tembi’ukuéra pytagua	Che ndaikuave’ẽi umi tembi’ukuéra pytagua	NOCHANGE
Peẽ napejapómi ogyke pokã che rasy	Ñande najajapómi ogyke pokã ñande rasy	PERSON:1_PL_INC
Peẽ napejapómi ogyke pokã ko mombe’upy ohenduká kuri chéve che ru.	Peẽ napejapói ogyke pokã ko mombe’upy ohenduka chéve che ru.	TENSE:PRE_SIM
Ndapurahéi kuri	Ndapurahéi kuri	NOCHANGE
Ñande mba’e ko ykua	Ñande mba’e ko ykua	NOCHANGE
Ore ndorokuave’ẽi hina umi tembi’ukuéra pytagua	Ore ndorokuave’ẽi hina umi tembi’ukuéra pytagua	NOCHANGE
Pohanohára akãguapy ndombovuta ore ndorokuave’ẽi umi tembi’ukuéra pytagua	Pohanohára akãguapy ombovuta ore rokuave’ẽ umi tembi’ukuéra pytagua	TYPE:AFF
Ha’e nombotujaimi che ogyke - ha’e ndombyaimi che ogyke ku mbói oñorairõ	Ha’e ombotujáta che ogyke - ha’e ombyaíta che ogyke ku mbói oñorairõta	TENSE:FUT_SIM
Pohanohára akãguapy ndombovuta ama oikomi ka’aguy hovy’ûvare	Pohanohára akãguapy ndombovúi ama oiko ka’aguy hovy’ûvare	TENSE:PRE_SIM
Ore rojavýimi iñeikotevẽva akuápe	Ore rojavýimi iñeikotevẽva akuápe	NOCHANGE
Okũmbymi hikuái ha’e ojupi kuri	Ñande ñakũmbýimi ñande jajupi kuri	PERSON:1_PL_INC
Ha’ekuéra naiñemoñaréi kuri ha’e ndombojaruita	Ha’ekuéra oñemoñaréi kuri ha’e ombojaruita	TYPE:AFF
Apurahéihina kuri	Apurahéihina kuri	NOCHANGE
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua peẽ napejapómi ogyke pokã	Ñande ndañakuave’ẽi umi tembi’ukuéra pytagua ñande najajapómi ogyke pokã	PERSON:1_PL_INC
Nde nderemoheñói nde nderejapói	Nde remoheñói nde rejapo	TYPE:AFF
Ha’e ombojára kuri mbovy apekuéra nde reñembosarái hína	Ha’e ndombojárai kuri mbovy apekuéra nde nereñembosaráiri hína	TYPE:NEG
Ha’e ombojára kuri mbovy apekuéra ha’e nombotujaimi che ogyke - ha’e ndombyaimi che ogyke	Ha’e ombojárata mbovy apekuéra ha’e ombotujáta che ogyke - ha’e ombyaíta che ogyke	TENSE:FUT_SIM
Ore ndorombyai kuri	Ore ndorombyai kuri	NOCHANGE
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra che rasy	Ijuru ñeimo’ã’ỹva ndojurai kuri che aovevekuéra che cherasy kuri	TENSE:PAS_REC
Ha’ekuéra osãmbyhy	Ha’ekuéra osãmbyhy	NOCHANGE
Ha’e oguapy che nañemoingeta	Nde reguapy nde nareñemoingeta	PERSON:2_SI
Che mba’éma ko ykua ore temimbo’e tie’ỹ ojapopami	Ndachemba’ei ko ykua ore temimbo’e tie’ỹ nojapopami	TYPE:NEG
Ha’ekuéra naiñemoñaréita	Ha’ekuéra naiñemoñaréita	NOCHANGE
Upérö (che) añani hína kuri mombe’ukuéra omboty kuri pende arete	Upérõ (che) añanita hína mombe’ukuéra ombotyta pende arete	TENSE:FUT_SIM
Ha’e oguapýkuri	Ha’e oguapýkuri	NOCHANGE
Nde reñembosarái hína ha’e ombojára kuri mbovy apekuéra	Nde reñembosaráita hína ha’e ombojárata mbovy apekuéra	TENSE:FUT_SIM
Ha’e oguapýta	Ha’e oguapýta	NOCHANGE
Apurahéi kuri ama oikomi ka’aguy hovy’ûvare	Ndapurahéi kuri ama ndoikomi ka’aguy hovy’ûvare	TYPE:NEG
Ku mbói oñorairõ che rasy	Ku mbói oñorairõ hína che rasypota hina	ASPECT:IPFV
Nde nderemoheñói ha’e nombotujaimi che ogyke - ha’e ndombyaimi che ogyke	Ñande ndañamoheñói ñande ndañambotujáimi che ogyke - ñande ndañambyaimi che ogyke	PERSON:1_PL_INC
Ko mombe’upy ohenduká kuri chéve che ru. ha’e ndombojaruita	Ko mombe’upy emohenduká kuri chéve nde. nde nderembojarui mo’ãi	PERSON:2_SI
Ore temimbo’e tie’ỹ ojapopava’ekue	Ore temimbo’e tie’ỹ ojapopava’ekue	NOCHANGE
Ha’e ndombojaruita chéngo ndaikuaái upévape.	Ha’e ndombojarui kuri chéngo ndaikuaái kuri hina upévape.	TENSE:PAS_REC
Ha’ekuéra naiñemoñaréi kuri peẽ napejapómi ogyke pokã	Ñande naiñañemoñaréi kuri ñande najajapómi ogyke pokã	PERSON:1_PL_INC
Ha’e ojupi kuri amo ñemuha osapukái kuri	Ha’e ojupi kuri hína amo ñemuha osapukái kuri hína	ASPECT:IPFV
Che mba’éma ko ykua ko po ojupi	Che mba’éta ko ykua ko po ojupíta	TENSE:FUT_SIM
Ha’e ojupi kuri temirendukuéra omongakuaa	Ha’e ojupi kuri hína temirendukuéra omongakuaa hína	ASPECT:IPFV
Che ajavými iñeikotevẽva akuápe mombe’ukuéra omboty kuri pende arete	Che ajavýimi hína iñeikotevẽva akuápe mombe’ukuéra omboty kuri hína pende arete	ASPECT:IPFV
Ha’e ombojerekuri umi kutuhakuéra poro’o	Ha’e ombojerekuri umi kutuhakuéra poro’o	NOCHANGE
Che mba’éma ko ykua che nañemoingeta	Nde mba’e ko ykua nde nareñemoingeta	PERSON:2_SI
Che ajavými iñeikotevẽva akuápe upérö (che) añani hína kuri	Che ajavy iñeikotevẽva akuápe upérõ (che) añani hína	TENSE:PRE_SIM
Pakova roguépe omo’â hembi’ukuéra. che rasy	Pakova roguépe ndomo’âi hembi’ukuéra. ndacherásyi	TYPE:NEG
Temirendukuéra omongakuaa amo ñemuha osapukái kuri	Temirendukuéra ndomongakuaai amo ñemuha nosapukái kuri	TYPE:NEG
Che katu itáicha akirirĩ.	Che katu itáicha akirirĩ.	NOCHANGE
Che rasy ha’ekuéra naiñemoñaréi kuri	Peê penderasy peë naipeñemoñaréi kuri	PERSON:2_PL
Okũmbymi hikuái ha’e ojupi kuri	Che akũmbymi che ajupi kuri	PERSON:1_SI
Pohanohára akãguapy ndombovuta che ajavými iñeikotevẽva akuápe	Pohanohára akãguapy ndombovúi che ajavy iñeikotevẽva akuápe	TENSE:PRE_SIM
Amo ñemuha osapukáita	Amo ñemuha osapukáita	NOCHANGE
Apurahéi kuri ha’e oguapy	Ndapurahéi kuri ha’e ndoguapýi	TYPE:NEG
Ñande ñakũmbýimi	Ñande ñakũmbýimi	NOCHANGE
Chéngo ndaikuaái upévape. jaguarete katu itáicha okirirĩ.	Ndéngo ndereikuaái upévape. nde katu itáicha rekirirĩ.	PERSON:2_SI
Ndéngo ndereikuaái upévape.	Ndéngo ndereikuaái upévape.	NOCHANGE
Ore temimbo’e tie’ỹ ojapopami che ajavými iñeikotevẽva akuápe	Ore temimbo’e tie’ỹ nojapopami che ndajavýimi iñeikotevẽva akuápe	TYPE:NEG
Okũmbymi hikuái che ajavými iñeikotevẽva akuápe	Ndokũmbýimi hikuái che ndajavýimi iñeikotevẽva akuápe	TYPE:NEG
Che mba’éma ko ykua oipuru hikuái ka’a ha ho’u terere.	Nde mba’e ko ykua nde reipuru ka’a ha re’u terere.	PERSON:2_SI
Ha’e ojupi kuri ha’e ndombojaruita	Che ajupi kuri che ndambojaruita	PERSON:1_SI
Pohanohára akãguapy ndombovuta nde reñembosarái hína	Pohanohára akãguapy ndombovúi kuri nde reñembosarái kuri hína	TENSE:PAS_REC
Jaguarete katu itáicha okirirĩ. che rasy	Jaguarete katu itáicha ndokirirĩ. ndacherásyi	TYPE:NEG
Ko po ojupi temirendukuéra omongakuaa	Ko po ndojupíri temirendukuéra ndomongakuaai	TYPE:NEG
Nde reñembosarái hína ku mbói oñorairõ	Nde reñembosarái ikóni ku mbói oñorairõ ikóni	ASPECT:INM
Jaguarete katu itáicha okirirĩ. che mba’éma ko ykua	Jaguarete katu itáicha ndokirirĩ. ndachemba’ei ko ykua	TYPE:NEG
Upérö (che) añani hína kuri ha’e oguapy	Upérõ (che) añanita hína ha’e oguapýta	TENSE:FUT_SIM
Che mba’éma ko ykua che ajavými iñeikotevẽva akuápe	Ore mba’e ko ykua ore rojavýimi iñeikotevẽva akuápe	PERSON:1_SI_EXC
Ha’ekuéra naiñemoñaréi kuri che nañemoingeta	Ha’ekuéra ndoñemoñaréi che nañemoingei	TENSE:PRE_SIM
Temirendukuéra omongakuaa ha’ekuéra naiñemoñaréi kuri	Temirendukuéra omongakuaata ha’ekuéra naiñemoñaréita	TENSE:FUT_SIM
Ko mombe’upy ohenduká kuri chéve che ru.	Ko mombe’upy ohenduká kuri chéve che ru.	NOCHANGE
Mombe’ukuéra ombotyva’ekue pende arete	Mombe’ukuéra ombotyva’ekue pende arete	NOCHANGE
Ha’e ombojára kuri mbovy apekuéra oipuru hikuái ka’a ha ho’u terere.	Ha’e ombojárata mbovy apekuéra oipuruta hikuái ka’a ha ho’uta terere.	TENSE:FUT_SIM
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra ama oikomi ka’aguy hovy’ûvare	Ijuru ñeimo’ã’ỹva ndojurai che aovevekuéra ama oiko ka’aguy hovy’ûvare	TENSE:PRE_SIM
Oipuru hikuái ka’a ha ho’u terere. he’i ka’i ruvicha ta’ýra kuérape	Nde reipuru ka’a ha re’u terere. nde, ka’i ruvicha ere nde ta’yrakuérape	PERSON:2_SI
Mombe’ukuéra omboty kuri pende arete che mba’éma ko ykua	Mombe’ukuéra ndombotyi kuri pende arete ndachemba’ei ko ykua	TYPE:NEG
He’i ka’i ruvicha ta’ýra kuérape okũmbymi hikuái	He’i ka’i ruvicha ita’ýrakuérape ndokũmbýimi hikuái	TYPE:NEG
Pohanohára akãguapy ndombovuta che rasy	Pohanohára akãguapy ndombovúiva’ekue che cherasy va’ekue	TENSE:PAS_PLU
Ha’e ombojerekuri umi kutuhakuéra poro’o ko po ojupi	Ha’e ombojerehina kuri umi kutuhakuéra tuicháva ko po ojupíhina	ASPECT:IPFV
Amo ñemuha osapukái kuri apurahéi kuri	Amo ñemuha nosapukái kuri ndapurahéi kuri	TYPE:NEG
Pohanohára akãguapy ndombovuta	Pohanohára akãguapy ndombovuta	NOCHANGE
Che rasy oipuru hikuái ka’a ha ho’u terere.	Nde nderasy nde reipuru ka’a ha re’u terere.	PERSON:2_SI
Amo ñemuha nosapukái kuri	Amo ñemuha nosapukái kuri	NOCHANGE
Peẽ napejapómi ogyke pokã che nañemoingeta	Peẽ napejapói ogyke pokã che nañemoingei	TENSE:PRE_SIM
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua nde nderejapói	Ñande ndañakuave’ẽi umi tembi’ukuéra pytagua ñande ndajajapói	PERSON:1_PL_INC
Ha’e ombojárata mbovy apekuéra	Ha’e ombojárata mbovy apekuéra	NOCHANGE
Jaguarete katu itáicha okirirĩ. nde reñembosarái hína	Jaguarete katu itáicha okirirĩta. nde reñembosaráita hína	TENSE:FUT_SIM
Apurahéi kuri	Apurahéi kuri	NOCHANGE
Chéngo ndaikuaái upévape.	Chéngo ndaikuaái upévape.	NOCHANGE
Ha’e oguapy chéngo ndaikuaái upévape.	Nde reguapy ndéngo ndereikuaái upévape.	PERSON:2_SI
Nde reñembosarái hína ha’e ombojerekuri umi kutuhakuéra poro’o	Nde nereñembosaráiri hína ha’e ndombojereikuri umi kutuhakuéra tuicháva	TYPE:NEG
Ha’ekuéra naiñemoñaréi kuri ha’e ojupi kuri	Ha’ekuéra naiñemoñaréita ha’e ojupita	TENSE:FUT_SIM
Che mba’éta ko ykua	Che mba’éta ko ykua	NOCHANGE
Che cherasy va’ekue	Che cherasy va’ekue	NOCHANGE
Ore temimbo’ekuéra tie’ỹ ojapopami	Ore temimbo’ekuéra tie’ỹ ojapopami	NOCHANGE
Ha’ekuéra ndojapói	Ha’ekuéra ndojapói	NOCHANGE
Ore norokúita	Ore norokúita	NOCHANGE
Temirendukuéra omongakuaa amo ñemuha osapukái kuri	Temirendukuéra omongakuaata amo ñemuha osapukáita	TENSE:FUT_SIM
Ha’ekuéra naiñemoñaréi kuri pohanohára akãguapy ndombovuta	Ha’ekuéra ndoñemoñaréi pohanohára akãguapy ndombovúi	TENSE:PRE_SIM
Che ajavými iñeikotevẽva akuápe	Che ajavými iñeikotevẽva akuápe	NOCHANGE
Ha’e oguapy ha’e ombojára kuri mbovy apekuéra	Ha’e ndoguapýi ha’e ndombojárai kuri mbovy apekuéra	TYPE:NEG
Ñande ndajajapói	Ñande ndajajapói	NOCHANGE
