Source	Change	Target
Tene' áak'ab kin bin merkaado	TYPE:NEG	Tene' ma' áak'ab kin bin merkaadoi'
Tene' áak'ab kin bin merkaado	SUBTYPE:INT	Tene' wáaj áak'ab kin bin merkaado
Ko'one'ex ich kool	PERSON:1_PL	Ko'ox ich kool
Táan a bine'ex ich kool	TYPE:NEG	Ma' táan a bine'ex ich kooli'
Táan a bine'ex ich kool	SUBTYPE:INT	Táan wáaj a bine'ex ich kool
Táan u bino'ob ich kool	TYPE:NEG	Ma' táan u bino'ob ich kooli'
Táan u bino'ob ich kool	SUBTYPE:INT	Táan wáaj u bino'ob ich kool
Ma' táan in bin ich kooli'	PERSON:2_SI	Ma' táan a bin ich kooli'
Ma' táan in bin ich kooli'	PERSON:3_SI	Ma' táan u bin ich kooli'
Ma' táan in bin ich kooli'	PERSON:3_PL	Ma' táan u bino'ob ich kooli'
Ma' táan in bin ich kooli'	PERSON:2_PL	Ma' táan a bine'ex ich kooli'
Ma' táan in bin ich kooli'	PERSON:1_PL	Ma' táan ek bin ich kooli'
Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	PERSON:3_SI	Jayp'éel k'iino'ob ku bin tu k'íiwikil koonol
Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	PERSON:3_PL	jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol
Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	PERSON:2_PL	Jayp'éel k'iino'ob ka bine'ex tu k'íiwikil koonol
Tin konaj in wotoch	PERSON:2_SI	Ta konaj a wotoch
Te' in taal tu kaajil Kopomae'	PERSON:2_SI	Te' a taal tu kaajil Kopomae'
Te' in taal tu kaajil Kopomae'	PERSON:3_SI	Te' u taal tu kaajil Kopomae'
Te' in taal tu kaajil Kopomae'	PERSON:1_PL	Te' k taal tu kaajil Kopomae'
Te' in taal tu kaajil Kopomae'	PERSON:2_PL	Te' a taale'ex tu kaajil Kopomae'
Te' in taal tu kaajil Kopomae'	PERSON:3_PL	Te' u taalo'ob tu kaajil Kopomae'
Ki'imak a wóol a bin tu k'íiwikil koonol	SUBTYPE:INT	Ki'imak wáaj a wóol a bin tu k'íiwikil koonol
Teche' ma' jbúulech wáaj	PERSON:3_SI	Leti'e' ma' jbúul wáaj
Teche' ma' jbúulech wáaj	PERSON:1_PL	To'one' ma' jbúulo'on wáaj
Teche' ma' jbúulech wáaj	PERSON:2_PL	Te'exe' ma' jbúule'ex wáaj
Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:1_SI	Ma' tin wilikech tu k'íiwikil koonol
Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:2_SI	Ma' ta wiliken tu k'íiwikil koonol
Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:1_SI	Ma' tin wiliko'ob tu k'íiwikil koonol
Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:1_SI	Ma' tin wilike'ex tu k'íiwikil koonol
Ma' tin wu'uyik ooxoli'	PERSON:2_SI	Ma' ta wu'uyik ooxoli'
Ma' tin wu'uyik ooxoli'	PERSON:3_SI	Ma' tu yu'ubik ooxoli'
Ma' tin wu'uyik ooxoli'	PERSON:3_PL	Ma' tu yu'ubiko'ob ooxoli'
Ma' tin wu'uyik ooxoli'	PERSON:2_PL	Ma' ta wu'uyike'ex ooxoli'
Ma' tin wu'uyik ooxoli'	PERSON:3_PL	Ma' tu yu'ubiko'ob ooxoli'
Jach k'a'abéet in bin merkaado	TYPE:NEG	Ma' jach k'a'abéet in bin merkaadoi'
Jach k'a'abéet in bin merkaado	SUBTYPE:INT	Jach wáaj k'a'abéet in bin merkaado
Táan u bin koonol tu k'íiwikil koonol	TYPE:NEG	Leti'e' ma' táan u bin koonol tu k'íiwikil koonoli'
Táan u bin koonol tu k'íiwikil koonol	SUBTYPE:INT	Táan wáaj u bin koonol tu k'íiwikil koonol
Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:2_SI	Yaan wáaj a bin koonol tu k'íiwikil koonol
Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_SI	Yaan wáaj u bin koonol tu k'íiwikil koonol
Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_SI	Yaan wáaj u bin koonol tu k'íiwikil koonol
Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_PL	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol
Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_PL	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol
Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:2_PL	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol
Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:1_PL	Yaan wáaj k bin koonol tu k'íiwikil koonol
Ma' tin wilikech merkaado	PERSON:2_SI	Ma' ta wiliken merkaado
Ma' ta wu'uyik ooxoli'	"TYPE:AFF, SUBTYPE:INT"	Ka wu'uyik wáaj ooxol
Ma' ta wu'uyik ooxoli'	SUBTYPE:INT	Ma' ta wu'uyik  wáaj ooxoli'
Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:2_SI	Teche' áak'ab ka bin tu k'íiwikil koonol
Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:3_SI	Leti'e' áak'ab ku bin tu k'íiwikil koonol
Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:1_PL	To'one' áak'ab k bin tu k'íiwikil koonol
Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:2_PL	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol
Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	PERSON:3_SI	Ma' jach k'a'abéet wáaj u bin tu k'íiwikil koonoli'
Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	PERSON:3_PL	Ma' jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonoli'
Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	PERSON:2_PL	Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'
Tene' ajkoonolen	PERSON:3_SI	Leti'e' ajkoonol
Tene' ajkoonolen	PERSON:2_SI	Teche' ajkoonolech
Tene' ajkoonolen	PERSON:1_PL	To'one' ajkoonolo'on
Tene' ajkoonolen	PERSON:2_PL	Te'exe' ajkoonole'ex
Jach wáaj k'a'abéet in bin merkaado	TYPE:NEG	Ma' wáaj jach k'a'abéet in bin merkaadoi'
Mix teen kajakbalen ta wotoch	PERSON:2_PL	Ma' kajakbale'ex tin wotochi'
Mix teen kajakbalen ta wotoch	PERSON:2_SI	Mix teech kajakbalech ta wotoch
Mix teen kajakbalen ta wotoch	PERSON:3_SI	Mix leti' kajakbal ta wotoch
Mix teen kajakbalen ta wotoch	PERSON:1_PL	Mix to'on kajakbalo'on ta wotoch
Mix teen kajakbalen ta wotoch	PERSON:2_PL	Mix te'ex kajakbale'ex ta wotoch
Mix teen kajakbalen ta wotoch	PERSON:3_PL	Mix leti'ob kajakbalo'ob ta wotoch
Ma' ta wu'uyike'ex ooxoli'	"TYPE:AFF, SUBTYPE:INT"	Te'exe' ka wu'uyike'ex wáaj ooxol
Ma' ta wu'uyike'ex ooxoli'	SUBTYPE:INT	Ma' ta wu'uyike'ex wáaj ooxoli'
Táan in bin koonol merkaado	PERSON:2_SI	Táan a bin koonol merkaado
Táan in bin koonol merkaado	PERSON:3_SI	Táan u bin koonol merkaado
Táan in bin koonol merkaado	PERSON:3_PL	Táan u bino'ob koonol merkaado
Táan in bin koonol merkaado	PERSON:2_PL	Táan a bine'ex koonol merkaado
Táan in bin koonol merkaado	PERSON:1_PL	Táan k bin koonol merkaado
Táan u bin tu kool	TYPE:NEG	Ma' táan u bin ich kooli'
Táan u bin tu kool	SUBTYPE:INT	Táan wáaj u bin ich kool
Táan a báaxale'ex báaxal tu naajil báaxal	SUBTYPE:INT	Táan wáaj a xooke'ex xook tu naajil xook
Ma' tin wilaj u sáastal tin kaajali'	PERSON:2_SI	Ma' ta wilaj u sáastal ta kaajali'
Ma' tin wilaj u sáastal tin kaajali'	PERSON:3_SI	Ma' tu yilaj u sáastal tu kaajali'
Ma' tin wilaj u sáastal tin kaajali'	PERSON:1_PL	Ma' tak ilaj u sáastal k kaajali'
Ma' tin wilaj u sáastal tin kaajali'	PERSON:3_PL	Ma' tu yilo'ob u sáastal tu kaajalo'obi'
Ma' tin wilaj u sáastal tin kaajali'	PERSON:2_PL	Ma' ta wile'ex u sáastal ta kaajale'exi'
Jach k'a'abéet in bin tu k'íiwikil koonol	TYPE:NEG	Ma' jach k'a'abéet in bin tu k'íiwikil koonoli'
Jach k'a'abéet in bin tu k'íiwikil koonol	SUBTYPE:INT	Jach wáaj k'a'abéet in bin k'íiwikil koonol
Yaan in boon tu naajil xook	PERSON:2_SI	Yaan a boon tu naajil xook
Yaan in boon tu naajil xook	PERSON:3_SI	Yaan u boon tu naajil xook
Yaan in boon tu naajil xook	PERSON:1_PL	Yaan k boon tu naajil xook
Yaan in boon tu naajil xook	PERSON:2_PL	Yaan a boone'ex xook tu naajil xook
Yaan in boon tu naajil xook	PERSON:3_PL	Yaan u boono'ob tu naajil xook
Jweenen merkaado	PERSON:3_PL	Jweeno'ob merkaado
Jweenen merkaado	PERSON:2_PL	Jweene'ex merkaado
Ma' in wa'alik u k'aaba'	PERSON:3_SI	Ma' u ya'alik u k'aaba'
Ma' in wa'alik u k'aaba'	PERSON:1_PL	Ma' k a'alik u k'aaba'
Ma' in wa'alik u k'aaba'	PERSON:2_PL	Ma' a wa'alike'ex u k'aaba'
Ma' in wa'alik u k'aaba'	PERSON:3_PL	Ma' u ya'aliko'ob u k'aaba'
To'one' áak'ab k bin tu k'íiwikil koonol	SUBTYPE:INT	To'one' áak'ab wáaj k bin tu k'íiwikil koonol
To'one' áak'ab k bin tu k'íiwikil koonol	"TYPE:NEG, SUBTYPE:INT"	To'one' ma' áak'ab wáaj k bin tu k'íiwikil koonoli'
Tene' Yaan ten meyaj biología	PERSON:2_SI	Teche' Yaan tech meyaj biología
Tene' Yaan ten meyaj biología	PERSON:3_SI	Leti'e' yaan meyaj ti' biología
Tene' Yaan ten meyaj biología	PERSON:1_PL	To'onen yaanto'on meyaj biología
Tene' Yaan ten meyaj biología	PERSON:2_PL	Te'exe' yaante'ex meyaj biología
Jbinen áalkab te' taam paarkéeo'	PERSON:3_SI	Leti'e' bin áalkab te' taam paarkéeo'
Jbinen áalkab te' taam paarkéeo'	PERSON:2_PL	Te'exe' bine'ex áalkab te' taam paarkéeo'
Jbinen áalkab te' taam paarkéeo'	PERSON:1_PL	To'one' bino'on áalkab te' taam paarkéeo'
Jbinen áalkab te' taam paarkéeo'	PERSON:3_PL	Leti'o'obe' bino'ob áalkab te' taam paarkéeo'
Teche' ka bin xíimbal tu yotoch	TYPE:NEG	Teche' ma' ta bin xíimbal tu yotochi'
Teche' a k'aaba'e'	SUBTYPE:INT	Bix a k'aaba'
Teche' a k'aaba'e'	"TYPE:NEG, ASPECT:NA, PERSON:1_SI"	Ma' in k'aaba'i'
Tu'ux k'íiwikil koonol ka jóok'ol koonol	ASPECT:CUS	Tu'ux k'íiwikil koonol suuk a jóok'ol koonol
Tu'ux k'íiwikil koonol ka jóok'ol koonol	ASPECT:COM	Tu'ux k'íiwikil koonol yaan a jóok'ol koonol
Tu'ux k'íiwikil koonol ka jóok'ol koonol	ASPECT:OBL	Tu'ux k'íiwikil koonol k'a'abéet a jóok'ol koonol
Tu'ux k'íiwikil koonol ka jóok'ol koonol	"ASPECT:BEG, TENSE:PAS_SIM"	Tu'ux k'íiwikil koonol káaj a jóok'ol koonol
Tu'ux k'íiwikil koonol ka jóok'ol koonol	ASPECT:DES	Tu'ux k'íiwikil koonol taak a jóok'ol koonol
Tene' ts'oka'an wáaj in beel	PERSON:2_SI	Teche' ts'oka'an wáaj a beel
Tene' ts'oka'an wáaj in beel	PERSON:3_SI	Leti'e' ts'oka'an wáaj u beel
Tene' ts'oka'an wáaj in beel	PERSON:1_PL	To'one' ts'oka'an wáaj k beel
Tene' ts'oka'an wáaj in beel	PERSON:2_PL	Te'exe' ts'oka'an wáaj a beele'ex
Tene' ts'oka'an wáaj in beel	PERSON:3_PL	Leti'obe' ts'oka'an wáaj u beelo'ob
Leti'obe' ti' u taalo'obi'	TYPE:NEG	Ma' ti' u taalo'obi'
Leti'obe' ti' u taalo'obi'	SUBTYPE:INT	Ti' wáaj a taalo'obi'
Táan in suut tu naajil xook	PERSON:2_SI	Táan a suut tu naajil xook
Táan in suut tu naajil xook	PERSON:3_SI	Táan u suut tu naajil xook
Táan in suut tu naajil xook	PERSON:1_PL	Táan k suut tu naajil xook
Táan in suut tu naajil xook	PERSON:2_PL	Táan a suute'ex xook tu naajil xook
Táan in suut tu naajil xook	PERSON:3_PL	Táan u suuto'ob tu naajil xook
Tene' in k'aaba'e'	"ASPECT:HAB, PERSON:2_SI"	Teche' a k'aaba'e'
Tene' in k'aaba'e'	"ASPECT:HAB, PERSON:3_SI"	Leti'e' u k'aaba'e'
Tene' in k'aaba'e'	"ASPECT:HAB, PERSON:1_PL"	To'one' k k'aaba'e'
Tene' in k'aaba'e'	"ASPECT:HAB, PERSON:1_PL"	To'one' in k'aaba'one'
Tene' in k'aaba'e'	"ASPECT:HAB, PERSON:2_PL"	Te'exe' a k'aaba'exe'
Tene' in k'aaba'e'	"ASPECT:HAB, PERSON:3_PL"	Leti'obe' u k'aaba'obe'
Ma' wáaj jach k'a'abéet in bin merkaadoi'	PERSON:3_SI	Ma' wáaj jach k'a'abéet u bin merkaadoi'
Ma' wáaj jach k'a'abéet in bin merkaadoi'	PERSON:3_PL	Ma' wáaj jach k'a'abéet u bino'ob merkaadoi'
Yaan a bin paarkée	SUBTYPE:INT	Yaan wáaj a bin paarkée
Yaan ti' te'ex 17 ja'abo'ob	"TYPE:NEG, SUBTYPE:INT"	Yaan wáaj ti' te'ex kex 17 ja'abo'ob
Yaan ti' te'ex 17 ja'abo'ob	TYPE:NEG	Mina'an wáaj ti'ob 17 ja'abo'ob
k'aaynajen tu naajil xook	PERSON:2_SI	K'aaynajech tu naajil xook
k'aaynajen tu naajil xook	PERSON:3_PL	k'aaynajo'ob tu naajil xook
k'aaynajen tu naajil xook	PERSON:2_PL	k'aaynaje'ex tu naajil xook
Yaan wáaj a manik a najil	PERSON:3_SI	Yaan wáaj u manik u najil
Yaan wáaj a manik a najil	"TYPE:NEG, SUBTYPE:DEC, PERSON:3_SI"	Mix tu manik u najil
Tene' ajkoonolen ichil merkaado	PERSON:3_SI	Leti'e' ajkoonol ichil merkaado
Tene' ajkoonolen ichil merkaado	PERSON:2_SI	Teche' ajkoonolech ichil merkaado
Tene' ajkoonolen ichil merkaado	PERSON:1_PL	To'one' ajkoonolo'on ichil merkaado
Tene' ajkoonolen ichil merkaado	PERSON:2_PL	Te'exe' ajkoonole'ex ichil merkaado
Jayp'éel k'iino'ob ka bin merkaado	PERSON:3_SI	Jayp'éel k'iino'ob ku bin merkaado
Jayp'éel k'iino'ob ka bin merkaado	PERSON:3_PL	Jayp'éel k'iino'ob ku bino'ob merkaado
Jayp'éel k'iino'ob ka bin merkaado	PERSON:2_PL	Jayp'éel k'iino'ob ka bine'ex merkaado
Ts'oka'an wáaj in beel	"TYPE:NEG, SUBTYPE:DEC"	Ma' ts'oka'an in beeli'
Ts'oka'an wáaj in beel	"TYPE:NEG, SUBTYPE:DEC"	Tene' ma' ts'oka'an in beeli'
Teche' áak'ab wáaj ka bin merkaado	PERSON:3_SI	Leti'e' áak'ab wáaj ku bin merkaado
Teche' áak'ab wáaj ka bin merkaado	PERSON:1_PL	To'one' áak'ab wáaj kek bin merkaado
Teche' áak'ab wáaj ka bin merkaado	PERSON:2_PL	Te'exe' áak'ab wáaj ka bine'ex merkaado
Múul kajakbal tu yéetel	"TYPE:NEG, VOICE:ACT, TRANSITIV:ITR"	Ma' múulkajakbal tu yéeteli'
Múul kajakbal tu yéetel	"SUBTYPE:INT, ASPECT:HAB, PERSON:1_SI, VOICE:ACT, TRANSITIV:ITR"	Múul kajakbal wáaj tu yéetel
Ta konaj a wotoch	SUBTYPE:INT	Ta konaj wáaj a wotoch
Ma' k'aja'anto'on buka'aj k ja'abili'	SUBTYPE:INT	Ma' wáaj k'aja'anto'on buka'aj k ja'abili'
Jsa'atech te' paarkéeo'	SUBTYPE:INT	Jsa'atech wáaj te' paarkéeo'
Jsa'atech te' paarkéeo'	"SUBTYPE:INT, ASPECT:NA, ADVTENSE:A"	Bix a sa'atal paarkée
Táan in manik ja'as tu k'íiwikil koonol	ASPECT:HAB	Kin manik nikte'ob tu k'íiwikil koonol
Táan in manik ja'as tu k'íiwikil koonol	"ASPECT:TER, TENSE:PAS_SIM"	Ts'o'ok in manik janal tu k'íiwikil koonol
Táan in manik ja'as tu k'íiwikil koonol	"ASPECT:IMM, TENSE:PAS_SIM"	Táant in manik ch'ujuk pak'áal tu k'íiwikil koonole'
Táan in manik ja'as tu k'íiwikil koonol	ASPECT:OBL	K'a'abéet in manik suuts' pak'áal tu k'íiwikil koonol
Táan in manik ja'as tu k'íiwikil koonol	ASPECT:COM	Yaan in manik ch'ujuko'ob tu k'íiwikil koonol
Tene' jbúulen	PERSON:2_SI	Teche' jbúulech
Tene' jbúulen	PERSON:3_SI	Leti'e' jbúulij
Tene' jbúulen	PERSON:1_PL	To'one' jbúulo'on
Tene' jbúulen	PERSON:2_PL	Te'exe' jbúule'ex
Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:PRG	Táan in manik ya'abach ba'alob tu k'íiwikil koonol
Kin manik ya'abach ba'alob tu k'íiwikil koonol	"ASPECT:TER, TENSE:PAS_SIM"	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol
Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:COM	Yaan in manik ya'abach ba'alob tu k'íiwikil koonol
Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:INS	Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'
Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:OBL	K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol
Kin manik ya'abach ba'alob tu k'íiwikil koonol	"ASPECT:BEG, TENSE:PAS_SIM"	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol
Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:CUS	Suuk in manik ya'abach ba'alob tu k'íiwikil koonol
Kin manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:DES	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol
Kin manik ya'abach ba'alob tu k'íiwikil koonol	"ASPECT:IMM, TENSE:PAS_SIM"	Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'
Ta konaj a najil	SUBTYPE:INT	Ta konaj wáaj a najil
Jweenen ich kool	PERSON:2_SI	Jweenech ich kool
Jweenen ich kool	PERSON:3_PL	Jweeno'ob ich kool
Jweenen ich kool	PERSON:2_PL	Jweene'ex ich kool
Tin meentik janal ich kool	PERSON:2_SI	Ta meentik janal ich kool
Tin meentik janal ich kool	PERSON:3_SI	Tu meentik janal ich kool
Tin meentik janal ich kool	PERSON:3_PL	Tu meentiko'ob janal ich kool
Tin meentik janal ich kool	PERSON:2_PL	Ta meentike'ex janal ich kool
Yaan wáaj a báaxal tu naajil báaxal	PERSON:3_SI	Yaan wáaj u báaxal tu naajil báaxal
Yaan wáaj a báaxal tu naajil báaxal	PERSON:1_PL	Yaan wáaj k báaxal tu naajil báaxal
Yaan wáaj a báaxal tu naajil báaxal	PERSON:2_PL	Yaan wáaj a báaxale'ex báaxal tu naajil báaxal
Yaan wáaj a báaxal tu naajil báaxal	PERSON:3_PL	Yaan wáaj u báaxalo'ob tu naajil báaxal
Jach k'a'abéet a bin merkaado	PERSON:1_SI	Jach k'a'abéet in bin merkaado
Jach k'a'abéet a bin merkaado	PERSON:3_SI	Jach k'a'abéet u bin merkaado
Jach k'a'abéet a bin merkaado	PERSON:3_PL	Jach k'a'abéet u bino'ob merkaado
Jach k'a'abéet a bin merkaado	PERSON:2_PL	Jach k'a'abéet a bine'ex merkaado
Tu u yojel u ja'abili'	TYPE:NEG	Ma' u yojel u ja'abili'
Ma' ts'oka'an in beeli'	PERSON:2_SI	Ma' ts'oka'an a beeli'
Ma' ts'oka'an in beeli'	PERSON:3_SI	Ma' ts'oka'an u beeli'
Ma' ts'oka'an in beeli'	PERSON:1_PL	Ma' ts'oka'an k beeli'
Ma' ts'oka'an in beeli'	PERSON:3_PL	Ma' ts'oka'an a beele'exi'
