Source	Change	Target
Ka'abeje' yaan in bin merkaado	PERSON:2_PL	Ka'abeje' yaan a bine'ex koonol merkaado
Ma' táan in bin koonol merkaadoi'	PERSON:2_SI	Ma' táan a bin koonol merkaadoi'
Ma' táan in bin koonol merkaadoi'	PERSON:3_SI	Ma' táan u bin koonol merkaadoi'
Ma' táan in bin koonol merkaadoi'	PERSON:3_PL	Ma' táan u bino'ob koonol merkaadoi'
Ma' táan in bin koonol merkaadoi'	PERSON:2_PL	Ma' táan a bine'ex koonol merkaadoi'
Ma' táan in bin koonol merkaadoi'	PERSON:3_PL	Ma' táan k bin koonol merkaadoi'
Ma k'aja'anten buka'aj in ja'abili'	PERSON:2_SI	Ma' k'aja'antech buka'aj a ja'abili'
Ma k'aja'anten buka'aj in ja'abili'	PERSON:3_SI	Ma' k'aja'anti' buka'aj u ja'abili'
Ma k'aja'anten buka'aj in ja'abili'	PERSON:1_PL	Ma' k'aja'anto'on buka'aj k ja'abili'
Ma k'aja'anten buka'aj in ja'abili'	PERSON:2_PL	Ma' k'aja'ante'ex buka'aj a ja'abile'exi'
Ma k'aja'anten buka'aj in ja'abili'	PERSON:3_PL	Ma' k'aja'anti'ob buka'aj u ja'abilo'obi'
Tan in k'íilkab	PERSON:2_SI	Tan a k'íilkab
Tan in k'íilkab	PERSON:1_PL	Tan k k'íilkab
Tan in k'íilkab	PERSON:2_PL	Tan a k'íilkabe'ex
Tan in k'íilkab	PERSON:3_PL	Tan u k'íilkabo'ob
Ook'in in bin ich kool	PERSON:2_SI	Ook'in a bin ich kool
Ook'in in bin ich kool	PERSON:3_PL	Ook'in u bino'ob tu koolo'ob
Ook'in in bin ich kool	PERSON:2_PL	Ook'in a bine'ex ta koole'ex
To'one' ma' jbúulo'oni'	"TYPE:AFF, SUBTYPE:INT"	To'one' jbúulo'on wáaj
To'one' ma' jbúulo'oni'	SUBTYPE:INT	To'one' ma' jbúulo'on wáaj
Kin in suut koonol merkaado	"ASPECT:TER, TENSE:PAS_SIM"	Ts'o'ok in suut koonol merkaado
Kin in suut koonol merkaado	ASPECT:INS	Je'el in suut koonol merkaado
óok'otnajen tu naajil xook	PERSON:2_SI	óok'otnajech tu naajil xook
óok'otnajen tu naajil xook	PERSON:1_PL	óok'otnajo'on tu naajil xook
óok'otnajen tu naajil xook	PERSON:3_PL	óok'otnaje'ex tu naajil xook
Ta manaj u k'áaxil a beetik a kool	SUBTYPE:INT	Ta manaj wáaj u k'áaxil uti'al a beetik a kool
Tene' ti' in taali'	PERSON:2_SI	Teche' ti' a taali'
Tene' ti' in taali'	PERSON:3_SI	Leti'e' ti' u taali'
Tene' ti' in taali'	PERSON:1_PL	To'one' ti' k taali'
Tene' ti' in taali'	PERSON:1_PL	To'one' ti' in taalo'oni'
Tene' ti' in taali'	PERSON:2_PL	Te'exe' ti' a taale'exi'
Tene' ti' in taali'	PERSON:3_PL	Leti'obe' ti' u taalo'obi'
Jach k'a'abéet u bin tu kool	TYPE:NEG	Ma' jach k'a'abéet u bin tu kooli'
Jach k'a'abéet u bin tu kool	SUBTYPE:INT	Jach k'a'abéet wáaj u bin ich kool
Jach k'a'abéet u bin tu kool	"TYPE:NEG, SUBTYPE:INT"	Ma' wáaj jach k'a'abéet u bin tu kooli'
Táan in kaaxtik a wotoch	PERSON:3_SI	Táan u kaaxtik a wotoch
Táan in kaaxtik a wotoch	PERSON:1_PL	Táan ek kaxtik a wotoch
Táan in kaaxtik a wotoch	PERSON:3_PL	Táan u kaxtiko'ob a wotoch
Jbinen yéetel in éetailo'ob merkaado	PERSON:2_SI	Jbinech yéetel a éetailo'ob merkaado
Jbinen yéetel in éetailo'ob merkaado	PERSON:3_PL	Jbino'ob yéetel u éetailo'ob merkaado
Jbinen yéetel in éetailo'ob merkaado	PERSON:2_PL	Jbine'ex yéetel a éetailo'ob merkaado
Ma' ta wu'uyik  wáaj ooxoli'	PERSON:3_SI	Ma' tu yu'ubik wáaj ooxoli'
Ma' ta wu'uyik  wáaj ooxoli'	PERSON:1_PL	Ma' tek u'uyik wáaj ooxoli'
Ma' ta wu'uyik  wáaj ooxoli'	PERSON:2_PL	Ma' ta wu'uyike'ex wáaj ooxoli'
Ma' ta wu'uyik  wáaj ooxoli'	PERSON:3_PL	Ma' tu yu'ubiko'ob wáaj ooxoli'
Máax yéetel jo'op' a bin koonol tu kúuchil báaxal	ASPECT:TER	Máax yéetel ts'o'ok a bin koonol tu kúuchil báaxal
Máax yéetel jo'op' a bin koonol tu kúuchil báaxal	ASPECT:IMM	Máax yéetel táant a bin koonol tu kúuchil báaxale'
Tene' kin bin paak'áal ich kool	PERSON:2_SI	Teche' ka bin paak'áal ich kool
Tene' kin bin paak'áal ich kool	PERSON:3_SI	Leti'e' ku bin paak'áal ich kool
Tene' kin bin paak'áal ich kool	PERSON:1_PL	To'one' kek bin paak'áal ich kool
Tene' kin bin paak'áal ich kool	PERSON:2_PL	Te'exe' ka taale'ex paak'áal ich kool
Kin wilikech merkaado	PERSON:2_SI	Ka wiliken merkaado
Kin wilikech merkaado	PERSON:1_PL	Kin wilike'ex merkaado
Yaan wáaj a xook tu naajil xook	PERSON:3_SI	Yaan wáaj u xook tu naajil xook
Yaan wáaj a xook tu naajil xook	PERSON:1_PL	Yaan wáaj k xook tu naajil xook
Yaan wáaj a xook tu naajil xook	PERSON:2_PL	Yaan wáaj a xooke'ex xook tu naajil xook
Yaan wáaj a xook tu naajil xook	PERSON:3_PL	Yaan wáaj u xooko'ob tu naajil xook
Te'exe' ma' jbúule'exi'	"TYPE:AFF, SUBTYPE:INT"	Te'exe' jbúule'ex wáaj
Te'exe' ma' jbúule'exi'	SUBTYPE:INT	Te'exe' ma' jbúule'ex wáaj
Jach k'a'abéet in bin ich kool	TYPE:NEG	Ma' jach k'a'abéet in bin ich kooli'
Jach k'a'abéet in bin ich kool	SUBTYPE:INT	Jach k'a'abéet wáaj in bin ich kool
Táan in meyaj ich kool	PERSON:2_SI	Táan a meyaj ich kool
Táan in meyaj ich kool	PERSON:3_SI	Táan u meyaj tu kool
Táan in meyaj ich kool	PERSON:3_PL	Táan u meyajo'ob ich kool
Táan in meyaj ich kool	PERSON:2_PL	Táan a meyaje'ex ich kool
Táan in meyaj ich kool	PERSON:1_PL	Táan ek meyaj ich kool
Teche' ma' wáaj áak'ab ka bin merkaadoi'	PERSON:3_SI	Leti'e' ma' wáaj áak'ab ku bin merkaadoi'
Teche' ma' wáaj áak'ab ka bin merkaadoi'	PERSON:1_PL	To'one' ma' wáaj áak'ab kek bin merkaadoi'
Teche' ma' wáaj áak'ab ka bin merkaadoi'	PERSON:2_PL	Te'exe' ma' wáaj áak'ab ka bine'ex merkaadoi'
Ta manaj a najil	SUBTYPE:INT	Ta manaj wáaj a najil
Ta manaj a najil	"TYPE:NEG, PERSON:1_SI"	Ma' tin manaj in najili'
A wojel wáaj tu'ux u taal	SUBTYPE:DEC	A wojel tu'ux u taal
A wojel wáaj tu'ux u taal	"TYPE:NEG, SUBTYPE:DEC"	Ma' a wojel tu'ux u taali'
Ma' táan in bin koonol tu k'íiwikil koonol	PERSON:2_SI	Ma' táan a bin koonol tu k'íiwikil koonol
Ma' táan in bin koonol tu k'íiwikil koonol	PERSON:3_SI	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol
Ma' táan in bin koonol tu k'íiwikil koonol	PERSON:3_SI	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol
Ma' táan in bin koonol tu k'íiwikil koonol	PERSON:3_PL	Ma' táan u bino'ob koonol tu k'íiwikil koonol
Ma' táan in bin koonol tu k'íiwikil koonol	PERSON:3_PL	Ma' táan u bino'ob koonol tu k'íiwikil koonol
Ma' táan in bin koonol tu k'íiwikil koonol	PERSON:2_PL	Ma' táan a bine'ex koonol tu k'íiwikil koonol
Ma' táan in bin koonol tu k'íiwikil koonol	PERSON:1_PL	Ma' táan k bin koonol tu k'íiwikil koonol
Teche' Yaan tech wáaj meyaj ti' biología	PERSON:3_SI	Leti'e' yaan wáaj meyaj ti' biología
Teche' Yaan tech wáaj meyaj ti' biología	PERSON:1_PL	To'onen yaanto'on wáaj meyaj ti' biología
Teche' Yaan tech wáaj meyaj ti' biología	PERSON:2_PL	Te'exe' yaante'ex wáaj meyaj ti' biología
Ma' táan in bin maan tu k'íiwikil koonoli'	ASPECT:DES	Ma' taak in bin maan tu k'íiwikil koonoli'
Ma' táan in bin maan tu k'íiwikil koonoli'	ASPECT:OBL	Ma' k'a'abéet in bin maan tu k'íiwikil koonoli'
Ma' táan in bin maan tu k'íiwikil koonoli'	ASPECT:CUS	Ma' suuk in bin maan tu k'íiwikil koonoli'
Ma' táan in bin maan tu k'íiwikil koonoli'	"ASPECT:BEG, TENSE:PAS_SIM"	Ma' káaj in bin maan tu k'íiwikil koonoli'
Jach k'a'abéet a bin tu k'íiwikil koonol	PERSON:1_SI	Jach k'a'abéet in bin tu k'íiwikil koonol
Jach k'a'abéet a bin tu k'íiwikil koonol	PERSON:3_SI	Jach k'a'abéet u bin tu k'íiwikil koonol
Jach k'a'abéet a bin tu k'íiwikil koonol	PERSON:3_PL	Jach k'a'abéet u bino'ob tu k'íiwikil koonol
Jach k'a'abéet a bin tu k'íiwikil koonol	PERSON:2_PL	Jach k'a'abéet a bine'ex tu k'íiwikil koonol
Ka'abeje' yaan in bin tu k'íiwikil koonol	PERSON:2_SI	Ka'abeje' yaan a bin koonol
Ka'abeje' yaan in bin tu k'íiwikil koonol	PERSON:3_PL	Ka'abeje' yaan u bino'ob koonol
Ka'abeje' yaan in bin tu k'íiwikil koonol	PERSON:2_PL	Ka'abeje' yaan a bine'ex koonol
Ma' k'aja'anto'on buka'aj k ja'abili'	"TYPE:AFF, STATUS:CMP"	Tek k'aja'anto'on buka'aj k ja'abili'
Ba'atelnajen te' tu kúuchil báaxalo'	PERSON:2_SI	Ba'atelnajech te' tu kúuchil báaxalo'
Ba'atelnajen te' tu kúuchil báaxalo'	PERSON:3_PL	Ba'atelnajo'ob te' tu kúuchil báaxalo'
Ba'atelnajen te' tu kúuchil báaxalo'	PERSON:2_PL	Ba'atelnaje'ex te' tu kúuchil báaxalo'
Táan wáaj a bin koonol merkaado	PERSON:3_PL	Táan wáaj u bino'ob koonol merkaado
Táan wáaj a bin koonol merkaado	PERSON:2_PL	Táan wáaj a bine'ex koonol merkaado
Táan wáaj a bin koonol merkaado	PERSON:1_PL	Táan wáaj k bin koonol merkaado
Ts'oka'an wáaj in beel	PERSON:2_SI	Ts'oka'an wáaj a beel
Ts'oka'an wáaj in beel	PERSON:3_SI	Ts'oka'an wáaj u beel
Ts'oka'an wáaj in beel	PERSON:1_PL	Ts'oka'an wáaj k beel
Ts'oka'an wáaj in beel	PERSON:3_PL	Ts'oka'an wáaj a beele'ex
Ts'oka'an wáaj in beel	PERSON:3_PL	Ts'oka'an wáaj u beelo'ob
J-jaanen merkaado	PERSON:1_PL	J-jaano'on merkaado
J-jaanen merkaado	PERSON:2_PL	J-jaane'ex merkaado
J-jaanen merkaado	PERSON:2_SI	J-jaanech merkaado
Kin jóok'ol wáaj koonol tu k'íiwikil koonol	"ASPECT:TER, TENSE:PAS_SIM"	Ts'o'ok wáaj in jóok'ol koonol tu k'íiwikil koonol
Kin jóok'ol wáaj koonol tu k'íiwikil koonol	"ASPECT:COM, TENSE:FUT_SIM"	Yaan wáaj in jóok'ol koonol tu k'íiwikil koonol
Ki'imak a wóol a bin ich kool	SUBTYPE:INT	Ki'imak a wóol wáaj a bin ich kool
Jbinen xook te' tu kúuchil báaxalo'	"SUBTYPE:INT, PERSON:2_SI"	Jbinech wáaj xook te' tu kúuchil báaxalo'
Yaan in jochik chak nal tin kool	PERSON:2_SI	Yaan a jochik chak nal ta kool
Yaan in jochik chak nal tin kool	PERSON:1_PL	Yaan ek jochik chak nal tek kool
Yaan in jochik chak nal tin kool	PERSON:2_PL	Yaan a jochike'ex chak nal ta koole'ex
Yaan in jochik chak nal tin kool	PERSON:3_PL	Yaan u jochiko'ob chak nal tu koolo'ob
Tin konaj in najil	SUBTYPE:INT	Tin wáaj konaj in najil
Tin konaj in najil	TYPE:NEG	Ma' tin konaj in najili'
Táan in bin koonol tu k'íiwikil koonol	PERSON:2_SI	Táan a bin koonol tu k'íiwikil koonol
Táan in bin koonol tu k'íiwikil koonol	PERSON:3_SI	Táan u bin koonol tu k'íiwikil koonol
Táan in bin koonol tu k'íiwikil koonol	PERSON:3_PL	Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol
Táan in bin koonol tu k'íiwikil koonol	PERSON:3_PL	Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol
Táan in bin koonol tu k'íiwikil koonol	PERSON:2_PL	Te'exe' táan a bine'ex koonol tu k'íiwikil koonol
Táan in bin koonol tu k'íiwikil koonol	PERSON:1_PL	Táan k bin koonol tu k'íiwikil koonol
Táan k xook tu naajil xook	SUBTYPE:INT	Táan wáaj k xook tu naajil xook
Yaan in manik ch'ujuko'ob tu k'íiwikil koonol	MARK:T	Yaan in jaantik ch'ujuko'ob tu k'íiwikil koonol
Yaan in manik ch'ujuko'ob tu k'íiwikil koonol	MARK:S	Yaan in bisik ch'ujuko'ob tu k'íiwikil koonol
Yaan in manik ch'ujuko'ob tu k'íiwikil koonol	MARK:T	Yaan in k'a'aytik ch'ujuko'ob tu k'íiwikil koonol
Tene' in jatsmajimbáaj	PERSON:2_SI	Teche' a jatsmajabáaj
Tene' in jatsmajimbáaj	PERSON:3_SI	Leti'e' u jatsmajubáaj
Tene' in jatsmajimbáaj	PERSON:1_PL	To'one' k jatsmajekbáaj
Tene' in jatsmajimbáaj	PERSON:2_PL	Te'exe' a jatsmajaba'ex
Tene' in jatsmajimbáaj	PERSON:3_PL	Leti'obe' u jatsmajuba'ob
Tene' kin bin páak ich kool	PERSON:2_SI	Teche' ka bin páak ich kool
Tene' kin bin páak ich kool	PERSON:3_SI	Leti'e' ku bin páak ich kool
Tene' kin bin páak ich kool	PERSON:1_PL	To'one kek bin páak ich kool
Tene' kin bin páak ich kool	PERSON:2_PL	Te'exe' ka bine'ex páak tu kool
Táan wáaj a bin ich kool	PERSON:2_SI	Táan wáaj u bin ich kool
Táan wáaj a bin ich kool	PERSON:3_PL	Táan wáaj u bino'ob ich kool
Táan wáaj a bin ich kool	PERSON:2_PL	Táan wáaj a bine'ex ich kool
Táan wáaj a bin ich kool	PERSON:1_PL	Táan wáaj ek bin ich kool
Yaan ti' teen 18 ja'abo'ob	"TYPE:NEG, SUBTYPE:INT"	Mina'an wáaj ti' teen 18 ja'abo'ob
Yaan ti' teen 18 ja'abo'ob	TYPE:NEG	Mina'anten 18 ja'abo'ob
Ma' jach k'a'abéet in bin tu k'íiwikil koonoli'	PERSON:3_SI	Ma' jach k'a'abéet u bin k'íiwikil koonoli'
Ma' jach k'a'abéet in bin tu k'íiwikil koonoli'	PERSON:3_PL	Ma' jach k'a'abéet u bino'ob tu k'íiwikil koonoli'
Ma' jach k'a'abéet in bin tu k'íiwikil koonoli'	PERSON:2_PL	Ma' jach k'a'abéet a bine'ex k'íiwikil koonoli'
Táan in boon tu naajil xook	PERSON:2_SI	Táan a boon tu naajil xook
Táan in boon tu naajil xook	PERSON:3_SI	Táan u boon tu naajil xook
Táan in boon tu naajil xook	PERSON:1_PL	Táan k boon tu naajil xook
Táan in boon tu naajil xook	PERSON:2_PL	Táan a boone'ex xook tu naajil xook
Táan in boon tu naajil xook	PERSON:3_PL	Táan u boono'ob tu naajil xook
Yaan wáaj in bin koonol merkaado	PERSON:2_SI	Yaan wáaj a bin koonol merkaado
Yaan wáaj in bin koonol merkaado	PERSON:3_SI	Yaan wáaj u bin koonol merkaado
Yaan wáaj in bin koonol merkaado	PERSON:3_PL	Yaan wáaj u bino'ob koonol merkaado
Yaan wáaj in bin koonol merkaado	PERSON:2_PL	Yaan wáaj a bine'ex koonol merkaado
Yaan wáaj in bin koonol merkaado	PERSON:1_PL	Yaan wáaj k bin koonol merkaado
Tene' áak'ab kin bin merkaado	PERSON:2_SI	Teche' áak'ab ka bin merkaado
Tene' áak'ab kin bin merkaado	PERSON:3_SI	Leti'e' áak'ab ku bin merkaado
Tene' áak'ab kin bin merkaado	PERSON:1_PL	To'one' áak'ab kek bin merkaado
Tene' áak'ab kin bin merkaado	PERSON:2_PL	Te'exe' áak'ab ka bine'ex merkaado
Tan k k'íilkab	TYPE:NEG	Ma' tan k k'íilkabi'
Yaan wáaj in bin ich kool	PERSON:2_SI	Yaan wáaj a bin ich kool
Yaan wáaj in bin ich kool	PERSON:3_SI	Yaan wáaj u bin ich kool
Yaan wáaj in bin ich kool	PERSON:3_PL	Yaan wáaj u bino'ob ich kool
Yaan wáaj in bin ich kool	PERSON:2_PL	Yaan wáaj a bine'ex ich kool
Yaan wáaj in bin ich kool	PERSON:1_PL	Yaan wáaj ek bin ich kool
Tene' kajakbalen weye'	PERSON:2_SI	Teche' kajakbalech weye'
Tene' kajakbalen weye'	PERSON:3_SI	Leti'e' kajakbal weye'
Tene' kajakbalen weye'	PERSON:1_PL	To'one' kajakbalo'on weye'
Tene' kajakbalen weye'	PERSON:2_PL	Te'exe' kajakbale'ex weye'
Tene' kajakbalen weye'	PERSON:3_PL	Leti'obe' kajakbalo'ob weye'
Tene' kin báaxal tu naajil xook	PERSON:2_SI	Teche' ka báaxal tu naajil xook
Tene' kin báaxal tu naajil xook	PERSON:3_SI	leti'e ku báaxal tu naajil xook
Tene' kin báaxal tu naajil xook	PERSON:1_PL	to'one' k báaxal tu naajil xook
Tene' kin báaxal tu naajil xook	PERSON:2_PL	te'exe' ka báaxale'ex tu naajil xook
Bajux ta bo'otaj ka ts'íibta'abech naajil xook	PERSON:3_PL	Bajux tu bo'oto'ob ka ts'íibta'abo'ob naajil xook
Táan a boon tu naajil xook	"SUBTYPE:INT, PERSON:1_SI"	Táan wáaj a boon tu naajil xook
Táan in báaxal tu naajil báaxal	PERSON:2_SI	Táan a báaxal tu naajil báaxal
Táan in báaxal tu naajil báaxal	PERSON:3_SI	Táan u báaxal tu naajil báaxal
Táan in báaxal tu naajil báaxal	PERSON:1_PL	Táan k báaxal tu naajil báaxal
Táan in báaxal tu naajil báaxal	PERSON:2_PL	Táan a báaxale'ex báaxal tu naajil báaxal
Táan in báaxal tu naajil báaxal	PERSON:3_PL	Táan u báaxalo'ob tu naajil báaxal
Tene' áak'ab kin bin tu k'íiwikil koonol	SUBTYPE:INT	Tene' áak'ab wáaj kin bin tu k'íiwikil koonol
Tene' áak'ab kin bin tu k'íiwikil koonol	"TYPE:NEG, SUBTYPE:INT"	Tene' ma' áak'ab wáaj kin bin tu k'íiwikil koonoli'
Yaan in k'aay te' paarkéeo'	SUBTYPE:INT	Yaan wáaj in k'aay te' paarkéeo'
Jbinen yéetel in éetailo'ob tu k'íiwikil koonol	PERSON:2_SI	Jbinech yéetel a éetailo'ob tu k'íiwikil koonol
Jbinen yéetel in éetailo'ob tu k'íiwikil koonol	PERSON:3_PL	Leti'obe' jbino'ob yéetel u éetailo'ob tu k'íiwikil koonol
Jbinen yéetel in éetailo'ob tu k'íiwikil koonol	PERSON:2_PL	Te'exe' jbine'ex yéetel a éetailo'ob tu k'íiwikil koonol
Táan u boon tu naajil xook	SUBTYPE:INT	Táan wáaj u boon tu naajil xook
Ta wile'ex u sáastal ta kaajale'ex	TYPE:NEG	Ma' ta wile'ex u sáastal ta kaajale'exi'
Ta wile'ex u sáastal ta kaajale'ex	SUBTYPE:INT	Ta wile'ex wáaj u sáastal ta kaajale'ex
Ta'aytak u chukiko'ob u ja'abil	"TYPE:NEG, MODE:SUB, ADVTENSE:NA"	Ma' u chuko'ob u ja'abili'
Ta'aytak u chukiko'ob u ja'abil	"TYPE:NEG, SUBTYPE:INT, MODE:SUB, ADVTENSE:NA, MARK:NI"	Ma' wáaj u chuko'ob u ja'abili'
Tene' ma' jbúuleni'	PERSON:2_SI	Teche' ma' jbúulechi'
Tene' ma' jbúuleni'	PERSON:3_SI	Leti'e' ma' jbúuli'
Tene' ma' jbúuleni'	PERSON:1_PL	To'one' ma' jbúulo'oni'
Tene' ma' jbúuleni'	PERSON:2_PL	Te'exe' ma' jbúule'exi'
Táan a bin koonol tu k'íiwikil koonol	TYPE:NEG	Ma' táan a bin koonol tu k'íiwikil koonoli'
Táan a bin koonol tu k'íiwikil koonol	SUBTYPE:INT	Táan wáaj a bin koonol tu k'íiwikil koonol